"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7042","Browser Context Playwright test","chromium","Fri Feb 21 21:00:27 IST 2025","passed","Fri Feb 21 21:00:34 IST 2025","","APIAutomationCases\UIBasicsAbortNetworkCall.spec.js","",""
"","7833","Security test request intercept","chromium","Fri Feb 21 21:00:27 IST 2025","passed","Fri Feb 21 21:00:35 IST 2025","","APIAutomationCases\NetworkInterceptionRequests.spec.js","",""
"","6209","Client App PO Login Test for IPHONE 13 PRO","chromium","Fri Feb 21 21:00:45 IST 2025","passed","Fri Feb 21 21:00:51 IST 2025","","WebAutomationCases\E2E_PlaceOrderTestCase.spec.js","",""
"","4260","@API Test Case 1","chromium","Fri Feb 21 21:01:19 IST 2025","passed","Fri Feb 21 21:01:23 IST 2025","","APIAutomationCases\WebAPIPart2.spec.js","",""
"","5629","Client App PO Login Test for ADIDAS ORIGINAL","chromium","Fri Feb 21 21:00:39 IST 2025","passed","Fri Feb 21 21:00:44 IST 2025","","WebAutomationCases\E2E_PlaceOrderTestCase.spec.js","",""
"","572","@API Test Case 2","chromium","Fri Feb 21 21:01:28 IST 2025","passed","Fri Feb 21 21:01:29 IST 2025","","APIAutomationCases\WebAPIPart2.spec.js","",""
"","6153","Place Order API","chromium","Fri Feb 21 21:00:27 IST 2025","passed","Fri Feb 21 21:00:34 IST 2025","","APIAutomationCases\WebAPIPart1.spec.js","",""
"","6278","Place Order API-Network Interception","chromium","Fri Feb 21 21:00:27 IST 2025","passed","Fri Feb 21 21:00:34 IST 2025","","APIAutomationCases\NetworkInterceptionResponses.spec.js","",""
"","9862","Client App PO Login Test for ZARA COAT 3","chromium","Fri Feb 21 21:00:27 IST 2025","passed","Fri Feb 21 21:00:37 IST 2025","","WebAutomationCases\E2E_PlaceOrderTestCase.spec.js","",""
"","6655","Client App PO Login Test","chromium","Fri Feb 21 21:00:52 IST 2025","passed","Fri Feb 21 21:00:59 IST 2025","","WebAutomationCases\E2E_PlaceOrderTestCase.spec.js","",""
